team,group,exp_points,exp_gd,exp_gf,prob_1st,prob_2nd,prob_3rd,prob_4th,prob_qual,prob_R16,prob_QF,prob_SF,prob_F,prob_W
Brazil,C,7.1574,5.5222,6.8905,0.7423,0.2082,0.045,0.0045,0.9921,0.2253,0.1631,0.114,0.0806,0.1337
Spain,H,6.9762,4.6673,6.25,0.6891,0.2634,0.0391,0.0084,0.9852,0.22,0.1729,0.1101,0.0754,0.1129
England,L,6.9899,4.5885,6.2457,0.6974,0.241,0.0521,0.0095,0.9834,0.2239,0.1651,0.1126,0.067,0.0997
Argentina,J,6.7885,4.1966,5.9084,0.6729,0.2327,0.0816,0.0128,0.977,0.2293,0.1553,0.1089,0.0729,0.0953
Portugal,K,6.5593,4.2909,6.2832,0.5452,0.3737,0.0719,0.0092,0.9803,0.2431,0.159,0.0973,0.0631,0.0711
France,I,6.4095,3.5837,5.6975,0.611,0.252,0.1134,0.0236,0.9614,0.2413,0.1549,0.1035,0.0614,0.0676
Colombia,K,6.2266,3.3234,5.2875,0.4216,0.4663,0.0974,0.0147,0.967,0.2527,0.1566,0.0906,0.0496,0.053
Belgium,G,6.5253,3.4945,5.2097,0.6588,0.2297,0.089,0.0225,0.9652,0.247,0.1602,0.0975,0.0532,0.0499
Netherlands,F,5.5906,2.0836,4.7069,0.5084,0.2627,0.1448,0.0841,0.8891,0.226,0.1454,0.0799,0.0432,0.0429
Denmark,A,5.8214,2.2936,4.1908,0.5417,0.2585,0.1398,0.06,0.9163,0.2359,0.1433,0.0751,0.0372,0.0313
Uruguay,H,5.4372,1.851,3.981,0.2795,0.5402,0.142,0.0383,0.9202,0.2508,0.1397,0.0741,0.0326,0.031
Italy,B,5.715,2.4479,4.8895,0.4494,0.3251,0.1799,0.0456,0.9247,0.2403,0.1405,0.0773,0.0375,0.0279
Germany,E,6.1964,3.7935,6.1331,0.5495,0.2885,0.1456,0.0164,0.97,0.2615,0.1464,0.0756,0.0344,0.0257
Switzerland,B,5.4031,2.064,4.8507,0.3875,0.3462,0.2071,0.0592,0.9012,0.2422,0.1255,0.0644,0.0277,0.0212
Morocco,C,5.0331,1.4579,3.6994,0.1928,0.5133,0.2483,0.0456,0.898,0.2418,0.1233,0.0586,0.0249,0.018
Croatia,L,5.177,1.6127,4.4918,0.2452,0.5003,0.19,0.0645,0.8841,0.2392,0.1234,0.0549,0.0238,0.014
Ecuador,E,5.2171,1.687,3.9816,0.2946,0.383,0.2735,0.0489,0.8943,0.2412,0.1134,0.0483,0.022,0.0126
Austria,J,4.507,0.653,4.0035,0.1821,0.3877,0.3316,0.0986,0.8165,0.2227,0.0993,0.0477,0.0171,0.0105
Norway,I,4.4444,0.5927,4.0823,0.2039,0.3476,0.3279,0.1206,0.7981,0.2156,0.0998,0.0402,0.0161,0.0098
Senegal,I,4.2149,0.2227,3.3029,0.1677,0.3351,0.3645,0.1327,0.7671,0.2069,0.0918,0.0387,0.0169,0.0085
Japan,F,4.0539,-0.1088,3.4279,0.2174,0.2792,0.2711,0.2323,0.6951,0.1818,0.0844,0.0388,0.0179,0.0077
Algeria,J,4.1139,0.0238,3.8286,0.1367,0.3277,0.3983,0.1373,0.756,0.2063,0.0862,0.0324,0.0145,0.0069
Iran,G,4.1788,0.0501,2.8592,0.1811,0.356,0.3199,0.143,0.753,0.1969,0.0827,0.032,0.0104,0.0058
