team,group,exp_points,exp_gd,exp_gf,prob_1st,prob_2nd,prob_3rd,prob_4th,prob_advance
Denmark,A,5.8837,2.3587,4.2408,0.5561,0.2546,0.1309,0.0584,0.8107
Mexico,A,3.9583,-0.1365,2.8923,0.1992,0.2966,0.2708,0.2334,0.4958
South Korea,A,3.6152,-0.5987,2.7182,0.1593,0.27,0.3022,0.2685,0.4293
South Africa,A,2.7725,-1.6235,1.9346,0.0854,0.1788,0.2961,0.4397,0.2642
Italy,B,5.692,2.4555,4.8821,0.4432,0.3311,0.1781,0.0476,0.7743
Switzerland,B,5.4118,2.0472,4.8495,0.3925,0.3426,0.2017,0.0632,0.7351
Canada,B,3.8626,-0.2359,3.3769,0.1403,0.2598,0.4144,0.1855,0.4001
Qatar,B,1.6379,-4.2668,2.2019,0.024,0.0665,0.2058,0.7037,0.0905
Brazil,C,7.1899,5.5585,6.9041,0.7496,0.201,0.0462,0.0032,0.9506
Morocco,C,5.0358,1.4896,3.705,0.194,0.5139,0.2474,0.0447,0.7079
Scotland,C,3.393,-1.1022,3.0079,0.0518,0.2503,0.5281,0.1698,0.3021
Haiti,C,1.1498,-5.9459,1.6015,0.0046,0.0348,0.1783,0.7823,0.0394
Australia,D,4.3891,0.4277,3.2763,0.2888,0.2664,0.2436,0.2012,0.5552
United States,D,4.254,0.266,3.3662,0.2889,0.2589,0.2396,0.2126,0.5478
Turkey,D,3.885,-0.2589,3.4142,0.2345,0.2416,0.2433,0.2806,0.4761
Paraguay,D,3.6624,-0.4348,2.6879,0.1878,0.2331,0.2735,0.3056,0.4209
Germany,E,6.2661,3.8404,6.1474,0.5602,0.2841,0.1391,0.0166,0.8443
Ecuador,E,5.2092,1.6449,3.9632,0.2855,0.3896,0.2787,0.0462,0.6751
Ivory Coast,E,4.1761,0.1768,3.32,0.1498,0.3016,0.4516,0.097,0.4514
Curaçao,E,1.015,-5.6621,1.3579,0.0045,0.0247,0.1306,0.8402,0.0292
Netherlands,F,5.5909,2.1038,4.7043,0.5105,0.2497,0.1561,0.0837,0.7602
Japan,F,4.0407,-0.0973,3.4238,0.2142,0.2839,0.2626,0.2393,0.4981
Tunisia,F,3.4653,-0.7448,2.491,0.1453,0.2499,0.2972,0.3076,0.3952
Poland,F,3.2185,-1.2617,2.861,0.13,0.2165,0.2841,0.3694,0.3465
Belgium,G,6.4717,3.4328,5.1567,0.6561,0.2319,0.0889,0.0231,0.888
Iran,G,4.1667,0.0725,2.8419,0.1766,0.356,0.3171,0.1503,0.5326
Egypt,G,3.9088,-0.244,2.5697,0.1445,0.3199,0.3544,0.1812,0.4644
New Zealand,G,1.7924,-3.2613,1.2862,0.0228,0.0922,0.2396,0.6454,0.115
Spain,H,6.9646,4.6791,6.2601,0.6821,0.2658,0.0434,0.0087,0.9479
Uruguay,H,5.501,1.9029,4.0134,0.2861,0.545,0.1324,0.0365,0.8311
Saudi Arabia,H,2.1011,-3.1913,1.5937,0.0158,0.098,0.4238,0.4624,0.1138
Cape Verde,H,2.0655,-3.3907,1.6339,0.016,0.0912,0.4004,0.4924,0.1072
France,I,6.4169,3.6124,5.7198,0.6221,0.2432,0.1117,0.023,0.8653
Norway,I,4.4397,0.5627,4.086,0.1999,0.3575,0.3258,0.1168,0.5574
Senegal,I,4.163,0.1704,3.2435,0.1599,0.3354,0.3683,0.1364,0.4953
Bolivia,I,1.5868,-4.3455,2.0186,0.0181,0.0639,0.1942,0.7238,0.082
Argentina,J,6.7966,4.1828,5.8888,0.6754,0.226,0.0868,0.0118,0.9014
Austria,J,4.5194,0.6776,4.0144,0.1849,0.3867,0.329,0.0994,0.5716
Algeria,J,4.1267,0.0395,3.8279,0.1315,0.3363,0.4042,0.128,0.4678
Jordan,J,1.3032,-4.8999,1.7101,0.0082,0.051,0.18,0.7608,0.0592
Portugal,K,6.5511,4.266,6.2468,0.535,0.3845,0.0686,0.0119,0.9195
Colombia,K,6.2341,3.3259,5.2623,0.4316,0.458,0.0971,0.0133,0.8896
Uzbekistan,K,2.6909,-2.282,2.2819,0.0288,0.1244,0.5797,0.2671,0.1532
Jamaica,K,1.319,-5.3099,1.5099,0.0046,0.0331,0.2546,0.7077,0.0377
England,L,6.9909,4.5716,6.243,0.7053,0.2311,0.0535,0.0101,0.9364
Croatia,L,5.1948,1.6142,4.4984,0.2397,0.5174,0.1822,0.0607,0.7571
Ghana,L,2.717,-2.1346,2.3509,0.0404,0.1667,0.4556,0.3373,0.2071
Panama,L,1.8243,-4.0512,1.9947,0.0146,0.0848,0.3087,0.5919,0.0994
